Coordinate,R_A,R_D,T,Count,First_Locations
"(21, 10, 6)",21,10,6,7,"[(3, 0, 4), (3, 2, 4), (3, 6, 4), (4, 0, 4), (4, 2, 4)]"
"(0, 27, 11)",0,27,11,6,"[(6, 1, 7), (6, 3, 7), (6, 6, 7), (7, 1, 7), (7, 3, 7)]"
"(28, 1, 1)",28,1,1,6,"[(0, 0, 4), (0, 2, 4), (0, 6, 4), (1, 0, 4), (1, 2, 4)]"
"(20, 9, 9)",20,9,9,6,"[(1, 3, 6), (3, 3, 6), (5, 3, 2), (7, 0, 4), (7, 2, 4)]"
"(1, 22, 22)",1,22,22,5,"[(0, 7, 1), (3, 1, 4), (3, 5, 4), (4, 1, 4), (4, 5, 4)]"
"(16, 15, 11)",16,15,11,5,"[(2, 0, 4), (2, 2, 4), (2, 6, 4), (3, 0, 5), (6, 7, 2)]"
"(1, 28, 28)",1,28,28,5,"[(1, 1, 5), (5, 0, 4), (5, 2, 4), (5, 6, 4), (6, 3, 6)]"
"(0, 31, 11)",0,31,11,5,"[(1, 3, 0), (1, 4, 0), (3, 3, 0), (3, 4, 0), (3, 5, 2)]"
"(4, 19, 15)",4,19,15,5,"[(0, 2, 7), (0, 3, 0), (0, 4, 0), (2, 3, 0), (2, 4, 0)]"
"(0, 28, 12)",0,28,12,5,"[(1, 1, 6), (3, 1, 6), (5, 1, 7), (5, 3, 7), (5, 6, 7)]"
"(0, 31, 15)",0,31,15,4,"[(2, 1, 7), (2, 3, 7), (2, 6, 7), (5, 1, 6)]"
"(18, 1, 1)",18,1,1,4,"[(0, 7, 2), (6, 0, 7), (7, 0, 5), (7, 0, 7)]"
"(0, 29, 27)",0,29,27,4,"[(0, 1, 4), (0, 5, 4), (1, 1, 4), (1, 5, 4)]"
"(4, 16, 16)",4,16,16,4,"[(1, 5, 6), (1, 6, 6), (3, 5, 6), (3, 6, 6)]"
"(0, 8, 8)",0,8,8,4,"[(4, 1, 7), (4, 3, 7), (4, 6, 7), (7, 1, 6)]"
"(4, 18, 18)",4,18,18,4,"[(2, 5, 6), (2, 6, 6), (4, 4, 5), (6, 7, 3)]"
"(12, 18, 14)",12,18,14,4,"[(0, 4, 4), (0, 7, 4), (1, 4, 4), (1, 7, 4)]"
"(18, 9, 9)",18,9,9,4,"[(4, 0, 3), (4, 2, 3), (6, 0, 5), (7, 7, 2)]"
"(6, 25, 9)",6,25,9,4,"[(3, 4, 4), (3, 7, 4), (4, 4, 4), (4, 7, 4)]"
"(8, 3, 3)",8,3,3,3,"[(1, 1, 7), (1, 3, 7), (1, 6, 7)]"
"(8, 5, 5)",8,5,5,3,"[(3, 1, 7), (3, 3, 7), (3, 6, 7)]"
"(2, 8, 8)",2,8,8,3,"[(1, 1, 0), (3, 1, 0), (3, 1, 2)]"
"(2, 5, 5)",2,5,5,3,"[(1, 1, 2), (4, 1, 2), (4, 3, 1)]"
"(0, 19, 17)",0,19,17,3,"[(1, 0, 5), (2, 1, 4), (2, 5, 4)]"
"(9, 16, 16)",9,16,16,3,"[(1, 1, 3), (1, 5, 3), (2, 4, 2)]"
"(2, 13, 5)",2,13,5,3,"[(0, 0, 0), (1, 2, 7), (2, 0, 0)]"
"(0, 22, 18)",0,22,18,3,"[(1, 4, 6), (3, 4, 6), (5, 1, 2)]"
"(6, 25, 23)",6,25,23,3,"[(1, 2, 2), (3, 3, 1), (4, 2, 2)]"
"(0, 15, 13)",0,15,13,3,"[(5, 4, 4), (5, 7, 4), (7, 6, 3)]"
"(1, 8, 8)",1,8,8,3,"[(1, 3, 5), (7, 1, 3), (7, 5, 3)]"
"(16, 7, 1)",16,7,1,3,"[(5, 7, 7), (6, 4, 7), (7, 4, 7)]"
"(0, 5, 3)",0,5,3,3,"[(1, 5, 5), (6, 5, 6), (6, 6, 6)]"
"(1, 30, 10)",1,30,10,3,"[(5, 0, 0), (6, 3, 0), (6, 4, 0)]"
"(2, 25, 25)",2,25,25,3,"[(2, 0, 3), (2, 2, 3), (7, 1, 2)]"
"(0, 13, 5)",0,13,5,3,"[(4, 3, 5), (6, 1, 3), (6, 5, 3)]"
"(2, 28, 4)",2,28,4,3,"[(2, 4, 4), (2, 7, 4), (4, 6, 3)]"
"(2, 29, 19)",2,29,19,3,"[(1, 0, 2), (4, 0, 2), (6, 3, 1)]"
"(20, 11, 11)",20,11,11,3,"[(1, 0, 6), (3, 0, 6), (5, 6, 2)]"
"(4, 11, 9)",4,11,9,3,"[(0, 7, 6), (6, 4, 4), (6, 7, 4)]"
"(17, 6, 2)",17,6,2,3,"[(0, 5, 2), (0, 7, 7), (7, 7, 5)]"
"(0, 29, 13)",0,29,13,3,"[(0, 1, 7), (0, 3, 7), (0, 6, 7)]"
"(0, 31, 27)",0,31,27,3,"[(0, 1, 5), (4, 3, 6), (6, 1, 2)]"
"(8, 3, 1)",8,3,1,3,"[(0, 1, 3), (0, 5, 3), (3, 4, 2)]"
"(2, 17, 17)",2,17,17,3,"[(0, 1, 2), (0, 6, 5), (4, 1, 1)]"
"(2, 9, 9)",2,9,9,3,"[(0, 2, 5), (4, 0, 1), (6, 1, 0)]"
"(17, 14, 10)",17,14,10,3,"[(0, 3, 2), (3, 6, 5), (7, 1, 5)]"
"(0, 11, 7)",0,11,7,3,"[(0, 3, 5), (2, 1, 3), (2, 5, 3)]"
"(2, 20, 20)",2,20,20,3,"[(0, 4, 5), (2, 4, 6), (2, 7, 3)]"
"(10, 5, 5)",10,5,5,3,"[(0, 4, 3), (1, 7, 0), (3, 7, 0)]"
"(19, 0, 0)",19,0,0,3,"[(6, 7, 7), (7, 6, 5), (7, 7, 7)]"
"(5, 18, 14)",5,18,14,3,"[(0, 5, 7), (1, 5, 2), (4, 5, 2)]"
"(0, 31, 23)",0,31,23,3,"[(6, 0, 3), (6, 2, 3), (6, 5, 5)]"
"(0, 6, 2)",0,6,2,3,"[(0, 5, 5), (4, 5, 6), (4, 6, 6)]"
"(4, 10, 10)",4,10,10,3,"[(0, 5, 6), (0, 6, 6), (6, 6, 3)]"
"(2, 28, 12)",2,28,12,3,"[(0, 7, 3), (1, 5, 0), (3, 5, 0)]"
"(5, 24, 24)",5,24,24,3,"[(6, 0, 4), (6, 2, 4), (6, 6, 4)]"
"(1, 4, 4)",1,4,4,3,"[(6, 1, 4), (6, 5, 4), (6, 7, 6)]"
"(9, 20, 20)",9,20,20,2,"[(3, 3, 5), (6, 4, 2)]"
"(1, 22, 18)",1,22,18,2,"[(4, 3, 0), (4, 4, 0)]"
"(0, 26, 22)",0,26,22,2,"[(4, 2, 1), (4, 2, 6)]"
"(4, 26, 6)",4,26,6,2,"[(7, 4, 4), (7, 7, 4)]"
"(21, 10, 10)",21,10,10,2,"[(7, 3, 0), (7, 4, 0)]"
"(2, 29, 29)",2,29,29,2,"[(4, 0, 6), (7, 1, 0)]"
"(1, 26, 26)",1,26,26,2,"[(7, 0, 3), (7, 2, 3)]"
"(0, 21, 19)",0,21,19,2,"[(7, 1, 4), (7, 5, 4)]"
"(21, 8, 8)",21,8,8,2,"[(3, 7, 5), (6, 5, 2)]"
"(0, 23, 15)",0,23,15,2,"[(4, 6, 5), (7, 5, 5)]"
"(4, 25, 25)",4,25,25,2,"[(3, 5, 5), (4, 1, 5)]"
"(0, 27, 9)",0,27,9,2,"[(4, 1, 3), (4, 5, 3)]"
"(0, 25, 7)",0,25,7,2,"[(5, 1, 3), (5, 5, 3)]"
"(17, 14, 6)",17,14,6,2,"[(6, 7, 5), (7, 5, 2)]"
"(2, 21, 21)",2,21,21,2,"[(4, 7, 1), (5, 4, 6)]"
"(3, 20, 12)",3,20,12,2,"[(6, 5, 7), (7, 5, 7)]"
"(16, 11, 11)",16,11,11,2,"[(5, 0, 3), (5, 2, 3)]"
"(16, 6, 2)",16,6,2,2,"[(5, 0, 7), (5, 7, 2)]"
"(5, 18, 18)",5,18,18,2,"[(5, 7, 1), (5, 7, 6)]"
"(9, 18, 18)",9,18,18,2,"[(6, 3, 5), (7, 4, 2)]"
"(1, 0, 0)",1,0,0,2,"[(5, 1, 4), (5, 5, 4)]"
"(8, 7, 1)",8,7,1,2,"[(5, 2, 5), (7, 0, 1)]"
"(2, 21, 13)",2,21,13,2,"[(6, 2, 7), (7, 2, 7)]"
"(21, 0, 0)",21,0,0,2,"[(5, 3, 0), (5, 4, 0)]"
"(0, 9, 7)",0,9,7,2,"[(6, 1, 6), (7, 3, 3)]"
"(4, 19, 19)",4,19,19,2,"[(5, 5, 6), (5, 6, 6)]"
"(25, 6, 2)",25,6,2,2,"[(6, 1, 5), (7, 3, 2)]"
"(0, 31, 7)",0,31,7,2,"[(5, 6, 5), (7, 1, 1)]"
"(17, 6, 6)",17,6,6,2,"[(3, 3, 4), (4, 3, 4)]"
"(2, 21, 11)",2,21,11,2,"[(1, 7, 2), (4, 7, 2)]"
"(29, 0, 0)",29,0,0,2,"[(3, 1, 5), (6, 3, 2)]"
"(2, 12, 12)",2,12,12,2,"[(0, 4, 6), (2, 6, 3)]"
"(25, 2, 2)",25,2,2,2,"[(1, 0, 3), (1, 2, 3)]"
"(3, 8, 8)",3,8,8,2,"[(1, 0, 1), (4, 0, 0)]"
"(10, 1, 1)",10,1,1,2,"[(1, 0, 0), (3, 0, 0)]"
"(0, 23, 19)",0,23,19,2,"[(0, 7, 5), (5, 1, 0)]"
"(6, 9, 9)",6,9,9,2,"[(0, 7, 0), (2, 7, 0)]"
"(4, 26, 22)",4,26,22,2,"[(0, 6, 0), (2, 6, 0)]"
"(6, 16, 16)",6,16,16,2,"[(0, 5, 0), (2, 5, 0)]"
"(20, 1, 1)",20,1,1,2,"[(0, 4, 7), (5, 5, 2)]"
"(1, 26, 10)",1,26,10,2,"[(0, 4, 2), (7, 3, 5)]"
"(1, 24, 8)",1,24,8,2,"[(3, 1, 3), (3, 5, 3)]"
"(16, 13, 11)",16,13,11,2,"[(0, 3, 4), (1, 3, 4)]"
"(18, 13, 11)",18,13,11,2,"[(0, 2, 2), (3, 1, 1)]"
"(0, 25, 23)",0,25,23,2,"[(0, 2, 1), (6, 2, 6)]"
"(0, 31, 19)",0,31,19,2,"[(0, 2, 0), (2, 2, 0)]"
"(1, 18, 18)",1,18,18,2,"[(0, 1, 1), (1, 6, 5)]"
"(2, 4, 4)",2,4,4,2,"[(0, 1, 0), (2, 1, 0)]"
"(10, 17, 17)",10,17,17,2,"[(0, 0, 3), (0, 2, 3)]"
"(18, 9, 7)",18,9,7,2,"[(0, 0, 2), (6, 1, 1)]"
"(8, 19, 15)",8,19,15,2,"[(1, 2, 0), (3, 2, 0)]"
"(16, 12, 4)",16,12,4,2,"[(1, 2, 6), (3, 2, 6)]"
"(5, 26, 22)",5,26,22,2,"[(1, 3, 2), (4, 3, 2)]"
"(1, 14, 2)",1,14,2,2,"[(1, 4, 2), (4, 4, 2)]"
"(17, 10, 10)",17,10,10,2,"[(3, 0, 3), (3, 2, 3)]"
"(5, 26, 6)",5,26,6,2,"[(2, 7, 5), (5, 7, 0)]"
"(25, 6, 6)",25,6,6,2,"[(2, 6, 2), (7, 2, 0)]"
"(16, 10, 10)",16,10,10,2,"[(2, 6, 1), (6, 4, 1)]"
"(4, 11, 11)",4,11,11,2,"[(2, 5, 5), (6, 4, 3)]"
"(17, 12, 4)",17,12,4,2,"[(2, 5, 2), (5, 2, 0)]"
"(20, 11, 7)",20,11,7,2,"[(2, 3, 6), (3, 4, 5)]"
"(0, 10, 6)",0,10,6,2,"[(2, 3, 3), (4, 1, 6)]"
"(11, 4, 4)",11,4,4,2,"[(2, 2, 5), (6, 7, 0)]"
"(22, 9, 9)",22,9,9,2,"[(2, 0, 6), (7, 5, 0)]"
"(2, 29, 3)",2,29,3,2,"[(2, 0, 5), (4, 4, 3)]"
"(3, 24, 8)",3,24,8,2,"[(1, 7, 7), (7, 2, 5)]"
"(4, 17, 15)",4,17,15,2,"[(1, 7, 6), (3, 7, 6)]"
"(1, 10, 10)",1,10,10,2,"[(0, 0, 1), (1, 2, 5)]"
"(7, 24, 24)",7,24,24,2,"[(1, 6, 2), (4, 6, 2)]"
"(8, 22, 18)",8,22,18,2,"[(1, 6, 0), (3, 6, 0)]"
"(0, 23, 21)",0,23,21,2,"[(1, 4, 5), (7, 7, 3)]"
"(0, 4, 4)",0,4,4,2,"[(7, 5, 6), (7, 6, 6)]"
