step,module_i,module_j,A,B,R_A,R_D,T,coordinate,seen_count_after,is_reuse
12,5,7,81,121,81,40,40,"(81, 40, 40)",20,True
12,6,7,121,121,121,0,0,"(121, 0, 0)",5,True
13,0,1,21,21,21,0,0,"(21, 0, 0)",14,True
13,0,2,21,22,20,3,1,"(20, 3, 1)",21,True
13,0,3,21,22,20,3,1,"(20, 3, 1)",22,True
13,0,4,21,81,17,68,60,"(17, 68, 60)",21,True
13,0,5,21,81,17,68,60,"(17, 68, 60)",22,True
13,0,6,21,121,17,108,100,"(17, 108, 100)",21,True
13,0,7,21,121,17,108,100,"(17, 108, 100)",22,True
13,1,2,21,22,20,3,1,"(20, 3, 1)",23,True
13,1,3,21,22,20,3,1,"(20, 3, 1)",24,True
13,1,4,21,81,17,68,60,"(17, 68, 60)",23,True
13,1,5,21,81,17,68,60,"(17, 68, 60)",24,True
13,1,6,21,121,17,108,100,"(17, 108, 100)",23,True
13,1,7,21,121,17,108,100,"(17, 108, 100)",24,True
13,2,3,22,22,22,0,0,"(22, 0, 0)",6,True
13,2,4,22,81,16,71,59,"(16, 71, 59)",21,True
13,2,5,22,81,16,71,59,"(16, 71, 59)",22,True
13,2,6,22,121,16,111,99,"(16, 111, 99)",21,True
13,2,7,22,121,16,111,99,"(16, 111, 99)",22,True
13,3,4,22,81,16,71,59,"(16, 71, 59)",23,True
13,3,5,22,81,16,71,59,"(16, 71, 59)",24,True
13,3,6,22,121,16,111,99,"(16, 111, 99)",23,True
13,3,7,22,121,16,111,99,"(16, 111, 99)",24,True
13,4,5,81,81,81,0,0,"(81, 0, 0)",6,True
13,4,6,81,121,81,40,40,"(81, 40, 40)",21,True
13,4,7,81,121,81,40,40,"(81, 40, 40)",22,True
13,5,6,81,121,81,40,40,"(81, 40, 40)",23,True
13,5,7,81,121,81,40,40,"(81, 40, 40)",24,True
13,6,7,121,121,121,0,0,"(121, 0, 0)",6,True
14,0,1,21,21,21,0,0,"(21, 0, 0)",15,True
14,0,2,21,22,20,3,1,"(20, 3, 1)",25,True
14,0,3,21,22,20,3,1,"(20, 3, 1)",26,True
14,0,4,21,81,17,68,60,"(17, 68, 60)",25,True
14,0,5,21,81,17,68,60,"(17, 68, 60)",26,True
14,0,6,21,121,17,108,100,"(17, 108, 100)",25,True
14,0,7,21,121,17,108,100,"(17, 108, 100)",26,True
14,1,2,21,22,20,3,1,"(20, 3, 1)",27,True
14,1,3,21,22,20,3,1,"(20, 3, 1)",28,True
14,1,4,21,81,17,68,60,"(17, 68, 60)",27,True
14,1,5,21,81,17,68,60,"(17, 68, 60)",28,True
14,1,6,21,121,17,108,100,"(17, 108, 100)",27,True
14,1,7,21,121,17,108,100,"(17, 108, 100)",28,True
14,2,3,22,22,22,0,0,"(22, 0, 0)",7,True
14,2,4,22,81,16,71,59,"(16, 71, 59)",25,True
14,2,5,22,81,16,71,59,"(16, 71, 59)",26,True
14,2,6,22,121,16,111,99,"(16, 111, 99)",25,True
14,2,7,22,121,16,111,99,"(16, 111, 99)",26,True
14,3,4,22,81,16,71,59,"(16, 71, 59)",27,True
14,3,5,22,81,16,71,59,"(16, 71, 59)",28,True
14,3,6,22,121,16,111,99,"(16, 111, 99)",27,True
14,3,7,22,121,16,111,99,"(16, 111, 99)",28,True
14,4,5,81,81,81,0,0,"(81, 0, 0)",7,True
14,4,6,81,121,81,40,40,"(81, 40, 40)",25,True
14,4,7,81,121,81,40,40,"(81, 40, 40)",26,True
14,5,6,81,121,81,40,40,"(81, 40, 40)",27,True
14,5,7,81,121,81,40,40,"(81, 40, 40)",28,True
14,6,7,121,121,121,0,0,"(121, 0, 0)",7,True
15,0,1,21,21,21,0,0,"(21, 0, 0)",16,True
15,0,2,21,22,20,3,1,"(20, 3, 1)",29,True
15,0,3,21,22,20,3,1,"(20, 3, 1)",30,True
15,0,4,21,81,17,68,60,"(17, 68, 60)",29,True
15,0,5,21,81,17,68,60,"(17, 68, 60)",30,True
15,0,6,21,121,17,108,100,"(17, 108, 100)",29,True
15,0,7,21,121,17,108,100,"(17, 108, 100)",30,True
15,1,2,21,22,20,3,1,"(20, 3, 1)",31,True
15,1,3,21,22,20,3,1,"(20, 3, 1)",32,True
15,1,4,21,81,17,68,60,"(17, 68, 60)",31,True
15,1,5,21,81,17,68,60,"(17, 68, 60)",32,True
15,1,6,21,121,17,108,100,"(17, 108, 100)",31,True
15,1,7,21,121,17,108,100,"(17, 108, 100)",32,True
15,2,3,22,22,22,0,0,"(22, 0, 0)",8,True
15,2,4,22,81,16,71,59,"(16, 71, 59)",29,True
15,2,5,22,81,16,71,59,"(16, 71, 59)",30,True
15,2,6,22,121,16,111,99,"(16, 111, 99)",29,True
15,2,7,22,121,16,111,99,"(16, 111, 99)",30,True
15,3,4,22,81,16,71,59,"(16, 71, 59)",31,True
15,3,5,22,81,16,71,59,"(16, 71, 59)",32,True
15,3,6,22,121,16,111,99,"(16, 111, 99)",31,True
15,3,7,22,121,16,111,99,"(16, 111, 99)",32,True
15,4,5,81,81,81,0,0,"(81, 0, 0)",8,True
15,4,6,81,121,81,40,40,"(81, 40, 40)",29,True
15,4,7,81,121,81,40,40,"(81, 40, 40)",30,True
15,5,6,81,121,81,40,40,"(81, 40, 40)",31,True
15,5,7,81,121,81,40,40,"(81, 40, 40)",32,True
15,6,7,121,121,121,0,0,"(121, 0, 0)",8,True
16,0,1,22,22,22,0,0,"(22, 0, 0)",9,True
16,0,2,22,23,22,1,1,"(22, 1, 1)",1,False
16,0,3,22,23,22,1,1,"(22, 1, 1)",2,True
16,0,4,22,82,18,68,60,"(18, 68, 60)",1,False
16,0,5,22,82,18,68,60,"(18, 68, 60)",2,True
16,0,6,22,122,18,108,100,"(18, 108, 100)",1,False
16,0,7,22,122,18,108,100,"(18, 108, 100)",2,True
16,1,2,22,23,22,1,1,"(22, 1, 1)",3,True
16,1,3,22,23,22,1,1,"(22, 1, 1)",4,True
16,1,4,22,82,18,68,60,"(18, 68, 60)",3,True
16,1,5,22,82,18,68,60,"(18, 68, 60)",4,True
16,1,6,22,122,18,108,100,"(18, 108, 100)",3,True
16,1,7,22,122,18,108,100,"(18, 108, 100)",4,True
16,2,3,23,23,23,0,0,"(23, 0, 0)",1,False
16,2,4,23,82,18,69,59,"(18, 69, 59)",1,False
16,2,5,23,82,18,69,59,"(18, 69, 59)",2,True
16,2,6,23,122,18,109,99,"(18, 109, 99)",1,False
16,2,7,23,122,18,109,99,"(18, 109, 99)",2,True
16,3,4,23,82,18,69,59,"(18, 69, 59)",3,True
16,3,5,23,82,18,69,59,"(18, 69, 59)",4,True
16,3,6,23,122,18,109,99,"(18, 109, 99)",3,True
16,3,7,23,122,18,109,99,"(18, 109, 99)",4,True
16,4,5,82,82,82,0,0,"(82, 0, 0)",1,False
16,4,6,82,122,82,40,40,"(82, 40, 40)",1,False
16,4,7,82,122,82,40,40,"(82, 40, 40)",2,True
16,5,6,82,122,82,40,40,"(82, 40, 40)",3,True
16,5,7,82,122,82,40,40,"(82, 40, 40)",4,True
16,6,7,122,122,122,0,0,"(122, 0, 0)",1,False
17,0,1,22,22,22,0,0,"(22, 0, 0)",10,True
17,0,2,22,23,22,1,1,"(22, 1, 1)",5,True
17,0,3,22,23,22,1,1,"(22, 1, 1)",6,True
17,0,4,22,82,18,68,60,"(18, 68, 60)",5,True
17,0,5,22,82,18,68,60,"(18, 68, 60)",6,True
17,0,6,22,122,18,108,100,"(18, 108, 100)",5,True
17,0,7,22,122,18,108,100,"(18, 108, 100)",6,True
17,1,2,22,23,22,1,1,"(22, 1, 1)",7,True
17,1,3,22,23,22,1,1,"(22, 1, 1)",8,True
17,1,4,22,82,18,68,60,"(18, 68, 60)",7,True
17,1,5,22,82,18,68,60,"(18, 68, 60)",8,True
17,1,6,22,122,18,108,100,"(18, 108, 100)",7,True
17,1,7,22,122,18,108,100,"(18, 108, 100)",8,True
17,2,3,23,23,23,0,0,"(23, 0, 0)",2,True
17,2,4,23,82,18,69,59,"(18, 69, 59)",5,True
17,2,5,23,82,18,69,59,"(18, 69, 59)",6,True
17,2,6,23,122,18,109,99,"(18, 109, 99)",5,True
17,2,7,23,122,18,109,99,"(18, 109, 99)",6,True
17,3,4,23,82,18,69,59,"(18, 69, 59)",7,True
17,3,5,23,82,18,69,59,"(18, 69, 59)",8,True
17,3,6,23,122,18,109,99,"(18, 109, 99)",7,True
17,3,7,23,122,18,109,99,"(18, 109, 99)",8,True
17,4,5,82,82,82,0,0,"(82, 0, 0)",2,True
17,4,6,82,122,82,40,40,"(82, 40, 40)",5,True
17,4,7,82,122,82,40,40,"(82, 40, 40)",6,True
17,5,6,82,122,82,40,40,"(82, 40, 40)",7,True
17,5,7,82,122,82,40,40,"(82, 40, 40)",8,True
17,6,7,122,122,122,0,0,"(122, 0, 0)",2,True
18,0,1,22,22,22,0,0,"(22, 0, 0)",11,True
18,0,2,22,23,22,1,1,"(22, 1, 1)",9,True
18,0,3,22,23,22,1,1,"(22, 1, 1)",10,True
18,0,4,22,82,18,68,60,"(18, 68, 60)",9,True
18,0,5,22,82,18,68,60,"(18, 68, 60)",10,True
18,0,6,22,122,18,108,100,"(18, 108, 100)",9,True
18,0,7,22,122,18,108,100,"(18, 108, 100)",10,True
18,1,2,22,23,22,1,1,"(22, 1, 1)",11,True
18,1,3,22,23,22,1,1,"(22, 1, 1)",12,True
18,1,4,22,82,18,68,60,"(18, 68, 60)",11,True
18,1,5,22,82,18,68,60,"(18, 68, 60)",12,True
18,1,6,22,122,18,108,100,"(18, 108, 100)",11,True
18,1,7,22,122,18,108,100,"(18, 108, 100)",12,True
18,2,3,23,23,23,0,0,"(23, 0, 0)",3,True
18,2,4,23,82,18,69,59,"(18, 69, 59)",9,True
18,2,5,23,82,18,69,59,"(18, 69, 59)",10,True
18,2,6,23,122,18,109,99,"(18, 109, 99)",9,True
18,2,7,23,122,18,109,99,"(18, 109, 99)",10,True
18,3,4,23,82,18,69,59,"(18, 69, 59)",11,True
18,3,5,23,82,18,69,59,"(18, 69, 59)",12,True
18,3,6,23,122,18,109,99,"(18, 109, 99)",11,True
18,3,7,23,122,18,109,99,"(18, 109, 99)",12,True
18,4,5,82,82,82,0,0,"(82, 0, 0)",3,True
18,4,6,82,122,82,40,40,"(82, 40, 40)",9,True
18,4,7,82,122,82,40,40,"(82, 40, 40)",10,True
18,5,6,82,122,82,40,40,"(82, 40, 40)",11,True
18,5,7,82,122,82,40,40,"(82, 40, 40)",12,True
18,6,7,122,122,122,0,0,"(122, 0, 0)",3,True
19,0,1,22,22,22,0,0,"(22, 0, 0)",12,True
19,0,2,22,23,22,1,1,"(22, 1, 1)",13,True
19,0,3,22,23,22,1,1,"(22, 1, 1)",14,True
19,0,4,22,82,18,68,60,"(18, 68, 60)",13,True
19,0,5,22,82,18,68,60,"(18, 68, 60)",14,True
19,0,6,22,122,18,108,100,"(18, 108, 100)",13,True
19,0,7,22,122,18,108,100,"(18, 108, 100)",14,True
19,1,2,22,23,22,1,1,"(22, 1, 1)",15,True
19,1,3,22,23,22,1,1,"(22, 1, 1)",16,True
19,1,4,22,82,18,68,60,"(18, 68, 60)",15,True
19,1,5,22,82,18,68,60,"(18, 68, 60)",16,True
19,1,6,22,122,18,108,100,"(18, 108, 100)",15,True
19,1,7,22,122,18,108,100,"(18, 108, 100)",16,True
19,2,3,23,23,23,0,0,"(23, 0, 0)",4,True
19,2,4,23,82,18,69,59,"(18, 69, 59)",13,True
19,2,5,23,82,18,69,59,"(18, 69, 59)",14,True
19,2,6,23,122,18,109,99,"(18, 109, 99)",13,True
19,2,7,23,122,18,109,99,"(18, 109, 99)",14,True
19,3,4,23,82,18,69,59,"(18, 69, 59)",15,True
19,3,5,23,82,18,69,59,"(18, 69, 59)",16,True
19,3,6,23,122,18,109,99,"(18, 109, 99)",15,True
19,3,7,23,122,18,109,99,"(18, 109, 99)",16,True
19,4,5,82,82,82,0,0,"(82, 0, 0)",4,True
19,4,6,82,122,82,40,40,"(82, 40, 40)",13,True
19,4,7,82,122,82,40,40,"(82, 40, 40)",14,True
19,5,6,82,122,82,40,40,"(82, 40, 40)",15,True
19,5,7,82,122,82,40,40,"(82, 40, 40)",16,True
19,6,7,122,122,122,0,0,"(122, 0, 0)",4,True
20,0,1,22,22,22,0,0,"(22, 0, 0)",13,True
20,0,2,22,23,22,1,1,"(22, 1, 1)",17,True
20,0,3,22,23,22,1,1,"(22, 1, 1)",18,True
20,0,4,22,82,18,68,60,"(18, 68, 60)",17,True
20,0,5,22,82,18,68,60,"(18, 68, 60)",18,True
20,0,6,22,122,18,108,100,"(18, 108, 100)",17,True
20,0,7,22,122,18,108,100,"(18, 108, 100)",18,True
20,1,2,22,23,22,1,1,"(22, 1, 1)",19,True
20,1,3,22,23,22,1,1,"(22, 1, 1)",20,True
20,1,4,22,82,18,68,60,"(18, 68, 60)",19,True
20,1,5,22,82,18,68,60,"(18, 68, 60)",20,True
20,1,6,22,122,18,108,100,"(18, 108, 100)",19,True
20,1,7,22,122,18,108,100,"(18, 108, 100)",20,True
20,2,3,23,23,23,0,0,"(23, 0, 0)",5,True
20,2,4,23,82,18,69,59,"(18, 69, 59)",17,True
20,2,5,23,82,18,69,59,"(18, 69, 59)",18,True
20,2,6,23,122,18,109,99,"(18, 109, 99)",17,True
20,2,7,23,122,18,109,99,"(18, 109, 99)",18,True
20,3,4,23,82,18,69,59,"(18, 69, 59)",19,True
20,3,5,23,82,18,69,59,"(18, 69, 59)",20,True
20,3,6,23,122,18,109,99,"(18, 109, 99)",19,True
20,3,7,23,122,18,109,99,"(18, 109, 99)",20,True
20,4,5,82,82,82,0,0,"(82, 0, 0)",5,True
20,4,6,82,122,82,40,40,"(82, 40, 40)",17,True
20,4,7,82,122,82,40,40,"(82, 40, 40)",18,True
20,5,6,82,122,82,40,40,"(82, 40, 40)",19,True
20,5,7,82,122,82,40,40,"(82, 40, 40)",20,True
20,6,7,122,122,122,0,0,"(122, 0, 0)",5,True
21,0,1,22,22,22,0,0,"(22, 0, 0)",14,True
21,0,2,22,23,22,1,1,"(22, 1, 1)",21,True
21,0,3,22,23,22,1,1,"(22, 1, 1)",22,True
21,0,4,22,82,18,68,60,"(18, 68, 60)",21,True
21,0,5,22,82,18,68,60,"(18, 68, 60)",22,True
21,0,6,22,122,18,108,100,"(18, 108, 100)",21,True
21,0,7,22,122,18,108,100,"(18, 108, 100)",22,True
21,1,2,22,23,22,1,1,"(22, 1, 1)",23,True
21,1,3,22,23,22,1,1,"(22, 1, 1)",24,True
21,1,4,22,82,18,68,60,"(18, 68, 60)",23,True
21,1,5,22,82,18,68,60,"(18, 68, 60)",24,True
21,1,6,22,122,18,108,100,"(18, 108, 100)",23,True
21,1,7,22,122,18,108,100,"(18, 108, 100)",24,True
21,2,3,23,23,23,0,0,"(23, 0, 0)",6,True
21,2,4,23,82,18,69,59,"(18, 69, 59)",21,True
21,2,5,23,82,18,69,59,"(18, 69, 59)",22,True
21,2,6,23,122,18,109,99,"(18, 109, 99)",21,True
21,2,7,23,122,18,109,99,"(18, 109, 99)",22,True
21,3,4,23,82,18,69,59,"(18, 69, 59)",23,True
21,3,5,23,82,18,69,59,"(18, 69, 59)",24,True
21,3,6,23,122,18,109,99,"(18, 109, 99)",23,True
21,3,7,23,122,18,109,99,"(18, 109, 99)",24,True
21,4,5,82,82,82,0,0,"(82, 0, 0)",6,True
21,4,6,82,122,82,40,40,"(82, 40, 40)",21,True
21,4,7,82,122,82,40,40,"(82, 40, 40)",22,True
21,5,6,82,122,82,40,40,"(82, 40, 40)",23,True
21,5,7,82,122,82,40,40,"(82, 40, 40)",24,True
21,6,7,122,122,122,0,0,"(122, 0, 0)",6,True
22,0,1,22,22,22,0,0,"(22, 0, 0)",15,True
22,0,2,22,23,22,1,1,"(22, 1, 1)",25,True
22,0,3,22,23,22,1,1,"(22, 1, 1)",26,True
22,0,4,22,82,18,68,60,"(18, 68, 60)",25,True
22,0,5,22,82,18,68,60,"(18, 68, 60)",26,True
22,0,6,22,122,18,108,100,"(18, 108, 100)",25,True
22,0,7,22,122,18,108,100,"(18, 108, 100)",26,True
22,1,2,22,23,22,1,1,"(22, 1, 1)",27,True
22,1,3,22,23,22,1,1,"(22, 1, 1)",28,True
22,1,4,22,82,18,68,60,"(18, 68, 60)",27,True
22,1,5,22,82,18,68,60,"(18, 68, 60)",28,True
22,1,6,22,122,18,108,100,"(18, 108, 100)",27,True
22,1,7,22,122,18,108,100,"(18, 108, 100)",28,True
22,2,3,23,23,23,0,0,"(23, 0, 0)",7,True
22,2,4,23,82,18,69,59,"(18, 69, 59)",25,True
22,2,5,23,82,18,69,59,"(18, 69, 59)",26,True
22,2,6,23,122,18,109,99,"(18, 109, 99)",25,True
22,2,7,23,122,18,109,99,"(18, 109, 99)",26,True
22,3,4,23,82,18,69,59,"(18, 69, 59)",27,True
22,3,5,23,82,18,69,59,"(18, 69, 59)",28,True
22,3,6,23,122,18,109,99,"(18, 109, 99)",27,True
22,3,7,23,122,18,109,99,"(18, 109, 99)",28,True
22,4,5,82,82,82,0,0,"(82, 0, 0)",7,True
22,4,6,82,122,82,40,40,"(82, 40, 40)",25,True
22,4,7,82,122,82,40,40,"(82, 40, 40)",26,True
22,5,6,82,122,82,40,40,"(82, 40, 40)",27,True
22,5,7,82,122,82,40,40,"(82, 40, 40)",28,True
22,6,7,122,122,122,0,0,"(122, 0, 0)",7,True
23,0,1,22,22,22,0,0,"(22, 0, 0)",16,True
23,0,2,22,23,22,1,1,"(22, 1, 1)",29,True
23,0,3,22,23,22,1,1,"(22, 1, 1)",30,True
23,0,4,22,82,18,68,60,"(18, 68, 60)",29,True
23,0,5,22,82,18,68,60,"(18, 68, 60)",30,True
23,0,6,22,122,18,108,100,"(18, 108, 100)",29,True
23,0,7,22,122,18,108,100,"(18, 108, 100)",30,True
23,1,2,22,23,22,1,1,"(22, 1, 1)",31,True
23,1,3,22,23,22,1,1,"(22, 1, 1)",32,True
23,1,4,22,82,18,68,60,"(18, 68, 60)",31,True
23,1,5,22,82,18,68,60,"(18, 68, 60)",32,True
23,1,6,22,122,18,108,100,"(18, 108, 100)",31,True
23,1,7,22,122,18,108,100,"(18, 108, 100)",32,True
23,2,3,23,23,23,0,0,"(23, 0, 0)",8,True
23,2,4,23,82,18,69,59,"(18, 69, 59)",29,True
23,2,5,23,82,18,69,59,"(18, 69, 59)",30,True
23,2,6,23,122,18,109,99,"(18, 109, 99)",29,True
23,2,7,23,122,18,109,99,"(18, 109, 99)",30,True
23,3,4,23,82,18,69,59,"(18, 69, 59)",31,True
23,3,5,23,82,18,69,59,"(18, 69, 59)",32,True
23,3,6,23,122,18,109,99,"(18, 109, 99)",31,True
23,3,7,23,122,18,109,99,"(18, 109, 99)",32,True
23,4,5,82,82,82,0,0,"(82, 0, 0)",8,True
23,4,6,82,122,82,40,40,"(82, 40, 40)",29,True
23,4,7,82,122,82,40,40,"(82, 40, 40)",30,True
23,5,6,82,122,82,40,40,"(82, 40, 40)",31,True
23,5,7,82,122,82,40,40,"(82, 40, 40)",32,True
23,6,7,122,122,122,0,0,"(122, 0, 0)",8,True
24,0,1,23,23,23,0,0,"(23, 0, 0)",9,True
24,0,2,23,24,16,15,1,"(16, 15, 1)",1,False
24,0,3,23,24,16,15,1,"(16, 15, 1)",2,True
24,0,4,23,83,19,68,60,"(19, 68, 60)",1,False
24,0,5,23,83,19,68,60,"(19, 68, 60)",2,True
24,0,6,23,123,19,108,100,"(19, 108, 100)",1,False
24,0,7,23,123,19,108,100,"(19, 108, 100)",2,True
24,1,2,23,24,16,15,1,"(16, 15, 1)",3,True
24,1,3,23,24,16,15,1,"(16, 15, 1)",4,True
24,1,4,23,83,19,68,60,"(19, 68, 60)",3,True
24,1,5,23,83,19,68,60,"(19, 68, 60)",4,True
24,1,6,23,123,19,108,100,"(19, 108, 100)",3,True
24,1,7,23,123,19,108,100,"(19, 108, 100)",4,True
24,2,3,24,24,24,0,0,"(24, 0, 0)",1,False
24,2,4,24,83,16,75,59,"(16, 75, 59)",1,False
24,2,5,24,83,16,75,59,"(16, 75, 59)",2,True
24,2,6,24,123,24,99,99,"(24, 99, 99)",1,False
24,2,7,24,123,24,99,99,"(24, 99, 99)",2,True
24,3,4,24,83,16,75,59,"(16, 75, 59)",3,True
24,3,5,24,83,16,75,59,"(16, 75, 59)",4,True
24,3,6,24,123,24,99,99,"(24, 99, 99)",3,True
24,3,7,24,123,24,99,99,"(24, 99, 99)",4,True
24,4,5,83,83,83,0,0,"(83, 0, 0)",1,False
24,4,6,83,123,83,40,40,"(83, 40, 40)",1,False
24,4,7,83,123,83,40,40,"(83, 40, 40)",2,True
24,5,6,83,123,83,40,40,"(83, 40, 40)",3,True
24,5,7,83,123,83,40,40,"(83, 40, 40)",4,True
24,6,7,123,123,123,0,0,"(123, 0, 0)",1,False
25,0,1,23,23,23,0,0,"(23, 0, 0)",10,True
25,0,2,23,24,16,15,1,"(16, 15, 1)",5,True
25,0,3,23,24,16,15,1,"(16, 15, 1)",6,True
25,0,4,23,83,19,68,60,"(19, 68, 60)",5,True
25,0,5,23,83,19,68,60,"(19, 68, 60)",6,True
25,0,6,23,123,19,108,100,"(19, 108, 100)",5,True
25,0,7,23,123,19,108,100,"(19, 108, 100)",6,True
25,1,2,23,24,16,15,1,"(16, 15, 1)",7,True
25,1,3,23,24,16,15,1,"(16, 15, 1)",8,True
25,1,4,23,83,19,68,60,"(19, 68, 60)",7,True
25,1,5,23,83,19,68,60,"(19, 68, 60)",8,True
25,1,6,23,123,19,108,100,"(19, 108, 100)",7,True
25,1,7,23,123,19,108,100,"(19, 108, 100)",8,True
25,2,3,24,24,24,0,0,"(24, 0, 0)",2,True
25,2,4,24,83,16,75,59,"(16, 75, 59)",5,True
25,2,5,24,83,16,75,59,"(16, 75, 59)",6,True
25,2,6,24,123,24,99,99,"(24, 99, 99)",5,True
25,2,7,24,123,24,99,99,"(24, 99, 99)",6,True
25,3,4,24,83,16,75,59,"(16, 75, 59)",7,True
